movie,stars,review
The Mad Women's Ball,5,"when victor hugo be laid to rest in june of 1885 40,000 people slept on the street of paris in order to catch a glimpse of his casket mélanie laurent s the mad woman s ball a clear-eyed if seldom captivate period drama adapt from the victoria ma bestseller of the same name imago that one of those mourner be a 26-year-old woman who typically commune with the dead in private where it be all too easy for others to disbelieve her.…"
The Humans,7,every film make in response to 9/11 be a horror film in one way or another but none of them — from the unbearable simulation of united 93 to the eerie found footage of cloverfield and the chilling-that-this-was-nominated-for-best-picture-ness of extremely loud and incredibly close — have spoken the genre s common tongue more fluently than the humans. and yet for a movie which open with a thunderous jump-scare that it follow with another solid jolt every few minute before end with…
Earwig,6,somewhere in a fogbound pocket of mid-century europe a little girl with curly brown hair share a dark and dingy apartment with a middle-aged man who make u nervous her name be mia romaine hemelaers and her constantly melt teeth be make out of her own frozen saliva the man s name be aalbert scellinc paul hilton he be not her father neither of them speak the slat wooden floor groan like ghost whenever anyone move or when aalbert tinker with…
INU-OH,7,masaaki yuasa have long establish himself a one of the most creatively unbridled mind in all of modern animation — his expressionistic film the night be short walk on girl and television show devilman crybaby alike exude a shape-shifting fearlessness that allows them to address old strife with new sensitivity — but not even his die-hard fan could hope to adequately prepare themselves for the head-scratching jaw-dropping head-banging freak-out of the director s late and potentially last feature inu-oh. an anime…
7 Prisoners,7,a harrow brazilian hostage thriller wrap inside a mercilessly harsh coming-of-age story the second feature by filmmaker alexandre moratto socrates hinge on the moral dilemma that confronts a poor 18-year-old farm worker after he trade the outskirt of catanduva for the big city of são paulo in order to send money back to his ail mom the kid s name be mateus socrates lead christian malheiros and he s a rock-solid human who would do anything to support his family it s with…
Belfast,5,a black-and-white cine-memoir that s remember through rose-colored glass kenneth branagh s cutesy and broadly unaffecting belfast be every bit the contradiction in term that it sound like some of that seem by design inspire by the writer-director s bittersweet impression of be a nine-year-old boy in northern ireland a the trouble first spread to his street which be still integrate between protestant and catholic in the summer of 1969 branagh s film be the portrait of a fading shangri-la his belfast be the…
The Same Storm,6,the big problem with pandemic cinema — an emergent sub-genre largely define by well-meaning drama in which famous actor and/or opportunistic up-and-comers struggle with zoom call sterilize their grocery and otherwise memorialize the morbid tedium of the last 18 month — be that these movie be so hellbent on make u feel see that they don t have much to show u in return star-studded film such a lock down and together and festival indie like the end of u all…
The Electrical Life of Louis Wain,5,fresh off deliver the best and most unexpected performance of his career in jane campion s the power of the dog benedict cumberbatch retreat to more familiar territory in a whimsical victorian biopic that might a well be call the ridiculousness of the cat. of course when it come to the late 19th- and early-20th-century artist louis wain — whose adorable illustration of big-eyed moggies effectively invent our modern understand of feline a domestic friend — ridiculousness be meant with utmost…
Procession,8,the self-reflexive cinema of robert greene have cover a wide variety of different subject and style over the last decade but his most resonant film — from the séance-like portraiture of kate play christine to the collective historical requiem of bisbee 17 — be bound together by a share understand of the camera a a conduit to the past bisbee in which an entire arizona mining town be provoke to re-stage the darkest chapter in it history offer a particularly…
The Lost Daughter,8,maggie gyllenhaal 's get the goods*+ *ed harris dance in a cute little hat +but no seriously this be a killer debut
Cyrano,6,just when you think you ve see it all joe wright — one of the last true madman in hollywood cinema — rebound from the folly of his woman in the window with a full-throated musical adaptation of cyrano de bergerac soundtracked by the national shot during covid on sicily with hundred of lavishly costume extra sing a mope rock banger on the snowy peak of an active volcano and star peter dinklage a a lovelorn poet who posse the courage…
Spencer,7,listen to jonny greenwood slowly earn his eventual status a one of the great composer in film history be one of those thing that make life just a little more bearable
Dune,4,in the end denis villeneuve be all too right your television isn t big enough for the scope of his dune but that s only because this lifeless spice opera be told on such a comically massive scale that a screen of any size would struggle to contain it likewise no story — let alone the misshapen first half of one — could ever hope to support the enormity of what villeneuve try to build over the course of these interminable 155…
King Richard,6,will smith be one of the big movie star of the last 30 year which be one of the reason he s never be particularly good at play normal people a a secret government agent save the world from a giant alien cockroach he be so believable that even tommy lee jones take him seriously a muhammad ali he make embody the great seem like a lateral move a a homeless medical device salesman in 1981 san francisco or uh whoever…
Fauci,6,it s hard to imagine a less appeal film in the late summer of 2021 than a documentary about dr. anthony fauci a man who s already be on all of our screen every day for the last 18 month his honeyed brooklyn growl be a familiar to u now a the sound of our own masked breathing his mousy face an instantly familiar shorthand for another grim chapter of american history there will come a time when the world be ready…
The Rescue,8,the rescue be first and foremost a rivet immersive stomach-in-your-throat documentary about the youth soccer team who be trap deep within a flood cave in northern thailand during the summer of 2018 free solo filmmaker e. chai vasarhelyi and jimmy chin — far cement their reputation a rock star of the extreme non-fiction cinema scene with their most absorb and ingeniously craft stress-fest to date — so intimately embed u with the ragtag team of cave diver who attempt the…
C'mon C'mon,6,mike mill make sweet and ineffably gracious movie about how people don t know what the future hold or how the fuck they re suppose to get there and c mon c mon be definitely one of them a shaggy black-and-white mood piece about an unmarried radio journalist joaquin phoenix who unexpectedly find himself on a cross-country assignment with his nine-year-old nephew woody norman in tow mill late film might bop around from los angeles to new york and new orleans but it never…
The Card Counter,7,you get a job you become the job. that s what a veteran cabbie name wizard tell born-again hack travis bickle in martin scorsese s taxi driver which paul schrader write just before he turn 30 i envy you your youth he go on to say go on get laid get drunk do anything you get no choice anyway i mean we re all fuck more or less. a travis learns the hard way a few reel later schrader typically fall on the…
The Hand of God,8,
The Power of the Dog,9,jane campion have kept busy enough in the 12 year since her last feature-length film but her ice-blooded the power of the dog leaf the distinct impression that she spent every minute of that time sit in a dark room and sharpen the same knife now the in the cut auteur return with a poison-tipped dagger of a western drama wrap in rawhide and old rope a brilliant murderous fable about masculine strength that s so diamond-toothed it victim be already…
Together,5,it s be 18 month since the first day of england s national covid-19 lockdown and eight month since the first covid-19 lockdown movie about a squabble london couple who can t stand to be stuck with each other under the same roof shot last fall release last winter and conceive at a time when pandemic cinema still felt like something of a morbid novelty doug liman s semi-insufferable lock down be a reasonably lighthearted romp consider the circumstance that start with a sense…
Shang-Chi and the Legend of the Ten Rings,6,tony leung have these giant-ass magic ring that allow him to live forever …and we 're suppose to think this be a bad thing okay marvel
The Protégé,4,all due respect to the great martin campbell — the now-77-year-old new zealander whose fine-tuned approach to action filmmaking at the studio level have result in the mask of zorro and two different yet equally operatic james bond reboots that each outclass their respective sequel — but there s no excuse why a movie in which michael keaton play a winkingly merciless henchman name rembrandt should be a bland a the protégé. the same could also be say of a revenge…
Reminiscence,4,a soggy near-future noir that fatally misunderstands the past lisa joy s reminiscence be mile away from memorable but that doesn t mean it s always so easy to forget for one thing it would be hard to completely shake any murder-mystery set in a half-submerged miami so devastate by climate change that the street of south beach be flood the entire population have go nocturnal because the daytime be too hot and the rich live on a massive platform that s wall off…
Demonic,4,technology have always be the dominant creative force behind the film of neill blomkamp a former special effect artist whose what if apartheid but alien metaphor district 9 earn him a best picture nomination before he be 30 whose dopey matt damon vehicle elysium take class warfare to interplanetary level and whose twitter-famous chappie — perhaps the best movie ever make about a psychotically obnoxious police robot be capture and reprogrammed by the south african rap group die antwoord —…
Zeros and Ones,6,"abel ferrara have never be much for salvation at least not in the sense that it might be hand to u on a silver platter by someone who die more than 2,000 year ago his bad lieutenant wasn t exactly a self-portrait but harvey keitel refer to jesus christ a a rat fuck didn t come out of nowhere in recent year however the grindhouse nihilism of ferrara s earlier work have be temper by the personal acceptance of impend doom the scraggly…"
Days,8,a plumber drill a hole between the basement of one apartment and the ceiling of another a a strange disease that cause people to act like cockroach sweep over taiwan at the turn of the millennium a depressed homeless man desperate to provide for his family but invisible to the people who drive past his roadside advertising sign violently maul the cabbage that his young daughter have adopt a a friend a taipei cinema screen king hu s dragon inn during…
The Lost Leonardo,6,"in 2005 an art scavenger name alexander parish bought a high renaissance painting from a small new orleans auction house for 1,175 in 2017 christie s sell a heavily restore version of that same painting — the provenance of which have since become the art world s hottest controversy — to the crown prince of saudi arabia for a cool 450,300,000 presumably outbid kenneth branagh s character from tenet mohammad bin salman s record-shattering purchase consecrate the idea that salvator mundi be an original…"
Free Guy,5,free guy begin with a high-concept premise that s so much fun and full of potential you ll wish it hadn t be waste on a disney movie a generic npc in a computer game inspire by grand theft auto online realizes that his entire world be a simulation after he meet the only player capable of save it server from be shut down of course the project s relative originality belies the fact that it be actually developed by 20th century fox before…
Beckett,6,when the pandemic first start rag across the globe last year it be natural to appreciate the movie that allow u to travel the world from the relative safety of our own home now that this crap be make life miserable for a full 18 month it s become even more natural to appreciate the movie that make u never want to go anywhere ever again enter netflix s tense and prescient beckett which — despite be shot during the summer before…
Naked Singularity,4,adapt sergio de la pava s self-published pynchonesque 700-page debut novel a naked singularity into an 86-minute crime saga would seem to be an inherently radical act and yet naked singularity be the work of an untested filmmaker who know how to streamline but lack the chutzpah to swing for the fence that filmmaker be it scribe chase palmer — a first-time writer-director born with a veteran producer s name — and while his new york legal thriller boast a few brief…
Vivo,5,the director of the croods make a netflix musical star lin-manuel miranda a a rap kinkajou …i knew we 'd regret waste that `` most ambitious crossover of all-time '' meme too soon
The Suicide Squad,7,there be two thing that james gunn do well than just about anyone else on the planet one be make glossy mega-budget superhero movie that still march to the beat of their own drum e.g guardian of the galaxy vol 2 and the other be make over-the-top gore-fests so gross they straddle the line between indie cinema and outsider art e.g the darkly satirical super which in hindsight seem like a mission statement gunn might be the only person to…
Jungle Cruise,5,now that disney have remade all of it most beloved movie the studio be inevitably take the next logical step and remake werner herzog s instead in a change of pace that s sure to delight the legion of parent who ve be die to show their kid aguirre the wrath of god but have be worried that small child might be insufficiently traumatize by the sight of klaus kinski monologuing to a raftful of terrify monkey about his delusional plan to take…
The Green Knight,9,a mystical and enthral medieval coming-of-age story in which king arthur s overeager adult nephew learns that the world be weirder and more complicate than he ever thought possible the green knight be an intimate epic told with the self-conviction that it hero struggle to find at every turn stone out of it mind and shot with a genre-tweaking mastery that should make john boorman proud it s also the rare movie that know exactly what it be which be an even…
Val,6,it be difficult to talk and be understood actor and artist val kilmer sigh in the opening minute of the documentary that leo scott and ting poo have make from and about his life which be largely cobble together from thousand of hour of home video footage that kilmer have shot over the last six decade so difficult in fact that his son jack actually do the talk for him kilmer have undergone two tracheotomy in the process of treating…
Old,5,life be quite literally a beach in m. night shyamalan s old a go-for-broke twilight zone riff about a family who find themselves trap in a sandy enclave where time pass so fast that a six-year-old in the morning will go through puberty by lunch and a grandmother in the first act have almost no chance of be around for the third borrow from the 2010 graphic novel sandcastle by pierre oscar lévy and frederik peeters it s the sort of unsettling…
Snake Eyes: G.I. Joe Origins,4,japan where undead hollywood franchise go to get a new lease on life if often by exoticizing the country until it feel cut off from the rest of the world thus allow brand-driven movie to start from scratch it work for the fast and the furious with tokyo drift. it work for x-men with the wolverine. it even work for 3 ninja with 3 ninja kick back at least so far a that movie pave the way for hulk hogan…
